FU,FS,PN,PP,DIN,DON,DIP,DOP
Bananas,0.0335035607296366,0.0,0.5630333225252655,3.6522224126001217,1.0307681884532907,0.15184291105225692,0.1518417268373325
Conservation,271.18396874892426,1294.073821138688,420.0998432349925,361.1096383068796,1789.8510215382446,34.947774809214614,116.16434196996757
Cropping,0.91134149505488,0.2536595907718208,0.11963860369987417,0.6102473517071841,4.576827078633505,0.15256145906995808,0.30512074976179576
Dairy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forestry,0.8501878973871783,5.560913198071259,2.25860903817164,0.8918204701045362,8.918141774990245,0.2229539107746771,0.44284158060658174
Grazing,89.58788817001364,351.23605585414157,106.4795812143511,151.43183208644848,1172.708094149737,27.702078505693212,58.57251411183471
Horticulture,0.09892053606981045,0.03645130780173463,0.015300554563528551,0.8063754490593724,0.6450972022381756,0.1290197259629324,0.032254680396097656
Stream,31.947480683772202,23.42712543351219,13.034159833181358,0.11350671033338801,0.04636291377093367,0.014304358799173234,0.0029306926075946802
Sugarcane,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Urban + Other,1.489384307207231,0.34624320754588406,0.12205544601460391,10.167717248323184,15.341860927622799,2.005587174411831,0.6469357474546857
