FU,FS,PN,PP,DIN,DON,DIP,DOP
Bananas,0.017195715033697108,0.0,0.56302044579488,3.593936594436425,0.7670306926150267,0.14266009700088125,0.13224392438185392
Conservation,65.62522147054452,30.520396505766257,14.860484352783942,-0.0018111002844989343,-0.00487530224540933,-0.00020390716291984745,0.0002955173110308351
Cropping,0.8361738409341988,0.22391047040880588,0.10309431621698184,0.34945748206084193,3.3957045683662814,0.11174161350299931,0.21832097276624612
Dairy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forestry,0.026220704039044862,0.021659252641001103,0.01645168721905277,0.15515030282945919,4.791827672754564,0.12683262427936937,0.170788545631618
Grazing,78.87843635274578,267.2360810735563,71.2967835687841,44.95149858509251,609.884798019159,13.39940865213979,18.609329108217686
Horticulture,0.08603024179983063,0.029663281805307255,0.0129089314535958,0.7764363562363837,0.49312955816382575,0.12483018952453578,0.02216698689001987
Stream,9.53840856321672,7.105142866099605,3.697007531622024,0.11350671033338801,0.04636291377093367,0.014304358799173234,0.0029306926075946802
Sugarcane,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Urban + Other,1.0335980815071255,0.18280875207274738,0.06153333996904354,9.255783314105496,10.204438821874021,1.8883049374641798,0.30067548141608974
