Region,Site,Node,Year,RepresentivityRating,Flow,TSS,TN,PN,NOX,NH4,DIN,DON,TP,PP,DIP,DOP,Site Code,Display Name
BU,Suttor River at Bowen Dev Road,120310a,2008-2009,Indicative,250612,92054,288,143,10,3,13,132,65,53,9,4,120310A,120310A Suttor River at Bowen Dev Road
BU,Suttor River at Bowen Dev Road,120310a,2009-2010,Excellent,390806,58456,334,127,9,6,15,192,69,50,11,7,120310A,120310A Suttor River at Bowen Dev Road
BU,Suttor River at Bowen Dev Road,120310a,2010-2011,Good,2045512,160740,1605,613,14,22,36,886,375,185,83,122,120310A,120310A Suttor River at Bowen Dev Road
BU,Suttor River at Bowen Dev Road,120310a,2011-2012,Good,803929,55576,693,206,6,8,15,473,153,93,40,21,120310A,120310A Suttor River at Bowen Dev Road
CY,Bullhead Creek at Upstream Laura River,,2020-2021,Good,19000,8400,36,20,8,0.49,8.5,7.8,11,8.9,1.7,0.5,1051037,1051037 Bullhead Creek at Upstream Laura River
CY,East Normanby River at Mulligan Highway,105105A,2016-2017,Good,121429.7168,27000,88,40,11,1,12,32,16,14,0.56,1.3,105105A,105105A East Normanby River at Mulligan Highway
CY,East Normanby River at Mulligan Highway,105105A,2018-2019,Excellent,440000,140000,370,250,47,5.4,52,75,67,62,2.9,4.5,105105A,105105A East Normanby River at Mulligan Highway
CY,East Normanby River at Mulligan Highway,105105A,2019-2020,Excellent,45000,23000,53,37,5.2,0.26,5.5,10,9.7,9.1,0.32,0.49,105105A,105105A East Normanby River at Mulligan Highway
CY,East Normanby River at Mulligan Highway,105105A,2020-2021,Excellent,100000,24000,77,41,12,0.73,13,24,13,12,0.53,1.2,105105A,105105A East Normanby River at Mulligan Highway
CY,East Normanby River at Mulligan Highway,105105A,2021-2022,Excellent,140000,39000,110,63,13,1.4,14,31,22,20,0.75,2.1,105105A,105105A East Normanby River at Mulligan Highway
CY,East Normanby River at Mulligan Highway,105105A,2022-2023,Excellent,230000,41000,130,74,12,0.98,13,45,19,17,1.4,2.6,105105A,105105A East Normanby River at Mulligan Highway
CY,East Normanby River at Mulligan Highway,105105A,2023-2024,Good,420000,140000,310,210,22,3.2,25,74,55,48,2.4,6.4,105105A,105105A East Normanby River at Mulligan Highway
CY,Laura River at Beefwoods Station,,2021-2022,Excellent,16000,6700,23,16,1.3,0.22,1.5,5.5,5.4,4.9,0.33,0.21,1051044,1051044 Laura River at Beefwoods Station
CY,Laura River at Carroll's Crossing,,2020-2021,Good,77000,300000,250,210,3.9,2,5.8,31,77,74,2.5,0.77,1051017,1051017 Laura River at Carroll's Crossing
CY,Laura River at Carroll's Crossing,,2021-2022,Indicative,43000,4400,27,11,2.6,0.32,2.9,14,4.2,3.6,0.31,0.45,1051017,1051017 Laura River at Carroll's Crossing
CY,Laura River at Carroll's Crossing,,2022-2023,Moderate,160000,16000,120,49,19,0.76,20,54,16,13,1.9,1.8,1051017,1051017 Laura River at Carroll's Crossing
CY,Laura River at Coal Seam Creek,105102A,2016-2017,Good,398264.3143,150000,570,450,18,2.4,20,110,100,96,2.8,4.2,105102A,105102A Laura River at Coal Seam Creek
CY,Laura River at Coal Seam Creek,105102A,2017-2018,Good,150000,31000,120,76,2.9,1.2,4.2,42,22,19,0.19,2.3,105102A,105102A Laura River at Coal Seam Creek
CY,Laura River at Coal Seam Creek,105102A,2018-2019,Good,880000,160000,710,490,17,5.6,23,190,130,120,5.3,9.2,105102A,105102A Laura River at Coal Seam Creek
CY,Laura River at Coal Seam Creek,105102A,2020-2021,Good,420000,85000,360,250,10,1.7,12,100,68,62,1.4,4.9,105102A,105102A Laura River at Coal Seam Creek
CY,Laura River at Coal Seam Creek,105102A,2021-2022,Moderate,220000,56000,210,150,10,1.4,12,48,48,42,1.6,4.2,105102A,105102A Laura River at Coal Seam Creek
CY,Laura River at Coal Seam Creek,105102A,2022-2023,Good,870000,140000,690,470,33,1.8,35,180,110,100,5,8.7,105102A,105102A Laura River at Coal Seam Creek
CY,Laura River at Turalba,,2022-2023,Excellent,79000,19000,79,48,6,2.3,8.4,23,15,13,1,1.1,1051022,1051022 Laura River at Turalba
CY,Laura River at Turalba,,2023-2024,Indicative,200000,,,160,31,7.7,39,60,,29,4.1,2.3,1051022,1051022 Laura River at Turalba
CY,Laura River at Turalba,,2023-2024,Moderate,200000,55000,260,,,,,,49,,,,1051022,1051022 Laura River at Turalba
CY,Normanby River at Kalpowar Crossing,105107A,2006-2007,Excellent,1765705,58518,723,170,36,22,58,499,87,49,20,23,105107A,105107A Normanby River at Kalpowar Crossing
CY,Normanby River at Kalpowar Crossing,105107A,2007-2008,Good,3649220,206429,1841,595,43,53,96,1143,167,70,30,78,105107A,105107A Normanby River at Kalpowar Crossing
CY,Normanby River at Kalpowar Crossing,105107A,2008-2009,Good,2349685,100584,1098,266,58,30,87,753,98,72,18,25,105107A,105107A Normanby River at Kalpowar Crossing
CY,Normanby River at Kalpowar Crossing,105107A,2009-2010,Good,2927302,173214,1326,65,59,46,105,1229,159,126,30,14,105107A,105107A Normanby River at Kalpowar Crossing
CY,Normanby River at Kalpowar Crossing,105107A,2010-2011,Moderate,5960435,268468,5605,481,74,68,142,839,318,159,31,141,105107A,105107A Normanby River at Kalpowar Crossing
CY,Normanby River at Kalpowar Crossing,105107A,2011-2012,Good,1162420,46207,494,139,13,9,22,338,87,65,3,28,105107A,105107A Normanby River at Kalpowar Crossing
CY,Normanby River at Kalpowar Crossing,105107A,2012-2013,,1827697,142316,,,,,,,,,,,105107A,105107A Normanby River at Kalpowar Crossing
CY,Normanby River at Kalpowar Crossing,105107A,2013-2014,Good,2635686,142838,1165,404,22,30,52,710,171,138,15,29,105107A,105107A Normanby River at Kalpowar Crossing
CY,Normanby River at Kalpowar Crossing,105107A,2014-2015,Good,1556335.963,29000,690,280,16,19,35,380,80,64,3.7,17,105107A,105107A Normanby River at Kalpowar Crossing
CY,Normanby River at Kalpowar Crossing,105107A,2015-2016,Moderate,1784562,62000,910,250,46,37,82,580,120,95,5,23,105107A,105107A Normanby River at Kalpowar Crossing
CY,Normanby River at Kalpowar Crossing,105107A,2016-2017,Good,2001271.101,58000,890,310,50,28,78,500,110,94,9.5,20,105107A,105107A Normanby River at Kalpowar Crossing
CY,Normanby River at Kalpowar Crossing,105107A,2017-2018,Good,2300000,110000,1400,480,100,32,140,750,190,150,13,28,105107A,105107A Normanby River at Kalpowar Crossing
CY,Normanby River at Kalpowar Crossing,105107A,2018-2019,Good,6300000,210000,2900,1300,47,73,120,1600,420,310,38,93,105107A,105107A Normanby River at Kalpowar Crossing
CY,Normanby River at Kalpowar Crossing,105107A,2019-2020,Excellent,1500000,45000,730,210,41,16,57,470,86,68,9.6,16,105107A,105107A Normanby River at Kalpowar Crossing
CY,Normanby River at Kalpowar Crossing,105107A,2020-2021,Good,3100000,58000,1400,440,74,27,100,890,260,160,21,92,105107A,105107A Normanby River at Kalpowar Crossing
CY,Normanby River at Kalpowar Crossing,105107A,2021-2022,Good,1800000,45000,750,210,34,16,49,510,110,82,8.2,23,105107A,105107A Normanby River at Kalpowar Crossing
CY,Normanby River at Kalpowar Crossing,105107A,2023-2024,Good,8500000,180000,3200,890,190,57,250,2000,440,280,38,140,105107A,105107A Normanby River at Kalpowar Crossing
CY,Pascoe River at Garraway Creek,102102A,2022-2023,Good,2100000,45000,650,250,70,11,81,330,48,32,4.6,26,102102A,102102A Pascoe River at Garraway Creek
CY,Pascoe River at Garraway Creek,102102A,2023-2024,Good,2000000,76000,940,440,140,11,150,350,43,29,1.8,20,102102A,102102A Pascoe River at Garraway Creek
CY,Pascoe River at Wattle Hills Station,1021014,2016-2017,Good,1421450.847,49000,550,150,70,11,81,310,31,20,2.8,14,102102A,102102A Pascoe River at Wattle Hills Station
CY,Pascoe River at Wattle Hills Station,1021014,2017-2018,Good,1800000,56000,580,180,53,12,65,340,47,31,0.9,20,1021014,1021014 Pascoe River at Wattle Hills Station
CY,Pascoe River at Wattle Hills Station,1021014,2018-2019,Good,2800000,120000,1400,660,150,21,170,530,98,84,11,28,1021014,1021014 Pascoe River at Wattle Hills Station
CY,Pascoe River at Wattle Hills Station,1021014,2019-2020,Good,1000000,36000,480,100,130,5.8,140,240,29,21,1.6,10,1021014,1021014 Pascoe River at Wattle Hills Station
CY,Pascoe River at Wattle Hills Station,1021014,2020-2021,Good,2200000,70000,910,300,140,7.4,140,470,61,38,5.3,39,1021014,1021014 Pascoe River at Wattle Hills Station
CY,West Normanby River at Mount Sellheim,105106A,2016-2017,Good,176329.7348,62000,160,95,7,1.3,8.2,53,39,34,1.6,3.2,105106A,105106A West Normanby River at Mount Sellheim
CY,West Normanby River at Mount Sellheim,105106A,2017-2018,Moderate,140000,78000,200,150,3.7,1.6,5.3,45,50,47,0.91,1.9,105106A,105106A West Normanby River at Mount Sellheim
CY,West Normanby River at Mount Sellheim,105106A,2018-2019,Excellent,820000,390000,810,590,51,8.6,59,170,220,180,17,9.6,105106A,105106A West Normanby River at Mount Sellheim
CY,West Normanby River at Mount Sellheim,105106A,2019-2020,Excellent,140000,49000,130,77,12,0.7,13,41,29,26,2.4,1.6,105106A,105106A West Normanby River at Mount Sellheim
CY,West Normanby River at Mount Sellheim,105106A,2020-2021,Excellent,230000,56000,,,,,,,,,,,105106A,105106A West Normanby River at Mount Sellheim
CY,West Normanby River at Mount Sellheim,105106A,2020-2021,Good,230000,,170,100,12,1.3,13,57,39,35,2.7,2.9,105106A,105106A West Normanby River at Mount Sellheim
CY,West Normanby River at Mount Sellheim,105106A,2021-2022,Excellent,170000,63000,150,94,7,1.2,8.2,47,39,34,2.1,3,105106A,105106A West Normanby River at Mount Sellheim
CY,West Normanby River at Mount Sellheim,105106A,2022-2023,Good,390000,110000,290,170,13,9.8,23,95,60,54,4.2,4.8,105106A,105106A West Normanby River at Mount Sellheim
CY,West Normanby River at Mount Sellheim,105106A,2023-2024,Excellent,1000000,550000,1700,,70,25,95,240,380,,20,19,105106A,105106A West Normanby River at Mount Sellheim
CY,West Normanby River at Mount Sellheim,105106A,2023-2024,Good,1000000,,,1400,,,,,,350,,,105106A,105106A West Normanby River at Mount Sellheim
FI,Comet River at Comet Weir,GS130504B,2007-2008,Moderate,1243050.87,761682,1721,819,154,46,200,702,998,692,298,16,130504B,130504B Comet River at Comet Weir
FI,Comet River at Comet Weir,GS130504B,2008-2009,Good,191368.0951,,,,,,,,,,,,130504B,130504B Comet River at Comet Weir
FI,Comet River at Comet Weir,GS130504B,2009-2010,Good,2271923.712,1455773,2709,1561,159,47,206,943,1791,1223,471,94,130504B,130504B Comet River at Comet Weir
FI,Comet River at Comet Weir,GS130504B,2010-2011,Indicative,5439219.442,1348668,4996,2829,614,128,741,2227,2497,1502,921,90,130504B,130504B Comet River at Comet Weir
FI,Comet River at Comet Weir,GS130504B,2011-2012,Moderate,1107558.237,696008,1404,896,159,14,173,336,806,598,178,34,130504B,130504B Comet River at Comet Weir
FI,Comet River at Comet Weir,GS130504B,2012-2013,Good,110692.5379,61586,131,72,16,2,18,41,53,41,10,1,130504B,130504B Comet River at Comet Weir
FI,Comet River at Comet Weir,GS130504B,2014-2015,Good,101520.999,120000,210,140,20,2,22,46,130,110,18,4,130504B,130504B Comet River at Comet Weir
FI,Comet River at Comet Weir,GS130504B,2015-2016,Moderate,21736,35000,60,46,5,2,7,8,34,30,4,0,130504B,130504B Comet River at Comet Weir
FI,Comet River at Comet Weir,GS130504B,2016-2017,Good,120403.3561,140000,310,180,60,2,62,63,160,130,24,3,130504B,130504B Comet River at Comet Weir
FI,Comet River at Comet Weir,GS130504B,2017-2018,Good,69000,67000,120,79,9.8,1.4,11,33,64,52,11,1.8,130504B,130504B Comet River at Comet Weir
FI,Comet River at Comet Weir,GS130504B,2018-2019,Moderate,35000,34000,86,63,8.8,0.83,9.6,14,44,40,3.4,0.7,130504B,130504B Comet River at Comet Weir
FI,Comet River at Comet Weir,GS130504B,2019-2020,Excellent,150000,180000,390,270,45,2.6,48,68,200,180,19,2,130504B,130504B Comet River at Comet Weir
FI,Comet River at Comet Weir,GS130504B,2020-2021,Good,48000,42000,170,130,11,0.9,12,22,55,47,7.1,0.87,130504B,130504B Comet River at Comet Weir
FI,Comet River at Comet Weir,GS130504B,2021-2022,Good,170000,190000,410,220,94,5.3,100,88,210,170,31,7.3,130504B,130504B Comet River at Comet Weir
FI,Comet River at Comet Weir,GS130504B,2022-2023,Excellent,300000,98000,560,260,110,20,130,170,250,160,84,7.3,130504B,130504B Comet River at Comet Weir
FI,Dawson River at Neville Hewitt Weir Tailwater,Neville Hewitt Weir,2017-2018,Moderate,350000,110000,600,340,74,8.9,83,180,170,130,37,7.2,130361B,130361B Dawson River at Neville Hewitt Weir Tailwater
FI,Dawson River at Neville Hewitt Weir Tailwater,Neville Hewitt Weir,2018-2019,Good,17000,3000,20,11,3.3,0.49,3.8,5.3,5.4,3.5,1.4,0.4,130361B,130361B Dawson River at Neville Hewitt Weir Tailwater
FI,Dawson River at Neville Hewitt Weir Tailwater,Neville Hewitt Weir,2019-2020,Moderate,590000,770000,1700,,,,,,580,,,,130361B,130361B Dawson River at Neville Hewitt Weir Tailwater
FI,Dawson River at Neville Hewitt Weir Tailwater,Neville Hewitt Weir,2020-2021,Good,87000,22000,140,73,28,1.2,30,37,44,36,5.6,1.8,130361B,130361B Dawson River at Neville Hewitt Weir Tailwater
FI,Dawson River at Neville Hewitt Weir Tailwater,Neville Hewitt Weir,2021-2022,Good,1200000,630000,2600,1700,270,33,300,620,900,730,140,26,130361B,130361B Dawson River at Neville Hewitt Weir Tailwater
FI,Dawson River at Neville Hewitt Weir Tailwater,Neville Hewitt Weir,2022-2023,Moderate,500000,82000,570,360,93,1.7,94,320,180,160,92,9.2,130361B,130361B Dawson River at Neville Hewitt Weir Tailwater
FI,Dawson River at Neville Hewitt Weir Tailwater,Neville Hewitt Weir,2023-2024,Good,450000,19000,680,330,82,15,97,240,230,150,73,12,130361B,130361B Dawson River at Neville Hewitt Weir Tailwater
FI,Dawson River at Taroom,GS130302A,2010-2011,Moderate,4712790.312,1004782,6234,3764,124,84,208,2930,2733,1037,1451,185,130302A,130302A Dawson River at Taroom
FI,Dawson River at Taroom,GS130302A,2012-2013,Good,106612,28344,179,82,14,2,16,72,61,27,31,2,130302A,130302A Dawson River at Taroom
FI,Dawson River at Taroom,GS130302A,2013-2014,Good,46173,26308,86,39,11,1,12,24,32,21,10,1,130302A,130302A Dawson River at Taroom
FI,Dawson River at Taroom,GS130302A,2014-2015,Good,247257,130000,440,250,57,5,62,130,140,93,40,11,130302A,130302A Dawson River at Taroom
FI,Dawson River at Taroom,GS130302A,2015-2016,Excellent,244037,100000,400,220,29,6,35,140,140,94,44,6.1,130302A,130302A Dawson River at Taroom
FI,Dawson River at Taroom,GS130302A,2016-2017,Good,207777,63000,360,170,14,5.8,19,150,120,60,53,6.4,130302A,130302A Dawson River at Taroom
FI,Dawson River at Taroom,GS130302A,2017-2018,Moderate,240000,72000,380,200,32,9.6,42,150,130,76,50,6.4,130302A,130302A Dawson River at Taroom
FI,Dawson River at Taroom,GS130302A,2018-2019,Good,46000,29000,99,55,13,0.9,14,26,30,22,7,1.1,130302A,130302A Dawson River at Taroom
FI,Dawson River at Taroom,GS130302A,2019-2020,Good,370000,320000,1000,620,140,8.4,140,240,270,210,47,19,130302A,130302A Dawson River at Taroom
FI,Dawson River at Taroom,GS130302A,2020-2021,Good,120000,82000,300,180,38,1.9,40,76,84,67,13,4.7,130302A,130302A Dawson River at Taroom
FI,Dawson River at Taroom,GS130302A,2021-2022,Good,1100000,410000,1700,910,110,20,130,640,630,350,240,46,130302A,130302A Dawson River at Taroom
FI,Dawson River at Taroom,GS130302A,2022-2023,Good,390000,130000,650,330,49,4.7,54,270,290,130,140,13,130302A,130302A Dawson River at Taroom
FI,Dawson River at Taroom,GS130302A,2023-2024,Good,440000,97000,860,470,120,5.1,120,270,300,170,130,6.9,130302A,130302A Dawson River at Taroom
FI,Fitzroy River at Fitzroy River Water,GS1300000,2017-2018,Good,970000,410000,1400,740,280,7.2,290,360,590,480,91,9.8,1300040,1300040 Fitzroy River at Fitzroy River Water
FI,Fitzroy River at Fitzroy River Water,GS1300000,2018-2019,Good,1300000,110000,1100,320,250,16,270,550,250,160,59,22,1300040,1300040 Fitzroy River at Fitzroy River Water
FI,Fitzroy River at Fitzroy River Water,GS1300000,2019-2020,Excellent,2500000,930000,4200,2100,1000,28,1000,1100,1200,920,190,55,1300040,1300040 Fitzroy River at Fitzroy River Water
FI,Fitzroy River at Fitzroy River Water,GS1300000,2020-2021,Good,390000,16000,340,100,69,5,74,160,66,51,11,6.3,1300040,1300040 Fitzroy River at Fitzroy River Water
FI,Fitzroy River at Fitzroy River Water,GS1300000,2021-2022,Good,3500000,2000000,6100,3500,1100,34,1100,1500,2100,1800,280,53,1300040,1300040 Fitzroy River at Fitzroy River Water
FI,Fitzroy River at Fitzroy River Water,GS1300000,2022-2023,Good,3400000,690000,4100,1700,790,55,850,1500,1300,870,360,96,1300040,1300040 Fitzroy River at Fitzroy River Water
FI,Fitzroy River at Fitzroy River Water,GS1300000,2023-2024,Good,1800000,130000,2300,870,640,32,670,790,830,560,240,38,1300040,1300040 Fitzroy River at Fitzroy River Water
FI,Fitzroy River at Rockhampton,GS1300000,2006-2007,,872784,235443,,,,,,,,,,,1300040,1300040 Fitzroy River at Fitzroy River Water
FI,Fitzroy River at Rockhampton,GS1300000,2007-2008,Good,12414773,4920301,15692,9427,1623,233,1857,4389,5815,4703,1050,132,1300040,1300040 Fitzroy River at Fitzroy River Water
FI,Fitzroy River at Rockhampton,GS1300000,2008-2009,Good,2164758,474947,2068,801,440,20,460,782,714,471,210,31,1300040,1300040 Fitzroy River at Fitzroy River Water
FI,Fitzroy River at Rockhampton,GS1300000,2009-2010,Good,10961125,3563583,12989,4291,1945,115,2060,6646,5321,3863,1143,411,1300040,1300040 Fitzroy River at Fitzroy River Water
FI,Fitzroy River at Rockhampton,GS1300000,2010-2011,Good,38538796,6969482,35794,16834,3324,535,3859,15057,15148,8725,5080,1541,1300040,1300040 Fitzroy River at Fitzroy River Water
FI,Fitzroy River at Rockhampton,GS1300000,2011-2012,Good,7221975,1315051,6409,3043,866,81,947,2394,2652,1594,887,208,1300040,1300040 Fitzroy River at Fitzroy River Water
FI,Fitzroy River at Rockhampton,GS1300000,2012-2013,Good,9458169,2463048,9288,4282,710,211,921,4096,3705,2054,1530,151,1300040,1300040 Fitzroy River at Fitzroy River Water
FI,Fitzroy River at Rockhampton,GS1300000,2013-2014,Good,1601402,51619,1006,227,108,40,148,631,164,94,65,18,1300040,1300040 Fitzroy River at Fitzroy River Water
FI,Fitzroy River at Rockhampton,GS1300000,2014-2015,Good,2694137,900000,3200,1600,400,77,470,1100,1300,960,240,50,1300040,1300040 Fitzroy River at Fitzroy River Water
FI,Fitzroy River at Rockhampton,GS1300000,2015-2016,Excellent,2270843,670000,3300,1600,560,120,680,920,910,750,130,27,1300040,1300040 Fitzroy River at Fitzroy River Water
FI,Fitzroy River at Rockhampton,GS1300000,2016-2017,Excellent,7394895,2200000,8300,4800,830,80,910,2600,3500,2600,680,130,1300040,1300040 Fitzroy River at Fitzroy River Water
FI,Isaac River at May Downs Road Bridge,GS1304021,2017-2018,Moderate,170000,70000,280,200,25,3.7,29,73,110,100,8.8,2.6,1304021,1304021 Isaac River at May Downs Road Bridge
FI,Isaac River at May Downs Road Bridge,GS1304021,2019-2020,Good,980000,280000,1200,620,130,11,140,440,320,260,43,26,1304021,1304021 Isaac River at May Downs Road Bridge
FI,Isaac River at May Downs Road Bridge,GS1304021,2020-2021,Good,230000,120000,400,240,48,2.1,50,110,120,110,7.5,2.8,1304021,1304021 Isaac River at May Downs Road Bridge
FI,Isaac River at May Downs Road Bridge,GS1304021,2021-2022,Indicative,370000,250000,600,390,71,4.4,75,140,210,190,11,3.8,1304021,1304021 Isaac River at May Downs Road Bridge
FI,Isaac River at May Downs Road Bridge,GS1304021,2022-2023,Moderate,1200000,220000,1300,600,110,7.4,120,600,380,250,110,24,1304021,1304021 Isaac River at May Downs Road Bridge
FI,Isaac River at May Downs Road Bridge,GS1304021,2023-2024,Moderate,730000,22000,560,230,41,5,46,290,110,70,31,9.4,1304021,1304021 Isaac River at May Downs Road Bridge
FI,Mackenzie River at Rileys Crossing,GS130113A,2017-2018,Good,170000,170000,310,170,59,4.5,63,83,130,100,22,3.8,130113A,130113A Mackenzie River at Rileys Crossing
FI,Mackenzie River at Rileys Crossing,GS130113A,2018-2019,Good,110000,140000,310,220,36,2.1,38,48,150,130,9.9,1.9,130113A,130113A Mackenzie River at Rileys Crossing
FI,Mackenzie River at Rileys Crossing,GS130113A,2019-2020,Excellent,220000,240000,500,340,69,4.6,73,92,250,220,23,3.2,130113A,130113A Mackenzie River at Rileys Crossing
FI,Mackenzie River at Rileys Crossing,GS130113A,2020-2021,Good,120000,93000,260,170,35,2.8,38,49,100,91,12,2,130113A,130113A Mackenzie River at Rileys Crossing
FI,Mackenzie River at Rileys Crossing,GS130113A,2021-2022,Good,570000,740000,1500,1100,170,13,180,220,650,580,61,12,130113A,130113A Mackenzie River at Rileys Crossing
FI,Mackenzie River at Rileys Crossing,GS130113A,2022-2023,Excellent,840000,310000,1400,630,350,28,380,420,510,340,150,14,130113A,130113A Mackenzie River at Rileys Crossing
