ModelElement,Basin_35,Manag_Unit_48
SC #34,Normanby River,Normanby River
SC #367,Normanby River,Normanby River
SC #302,Normanby River,Normanby River
SC #259,Normanby River,Normanby River
SC #289,Normanby River,Normanby River
SC #326,Normanby River,Normanby River
SC #258,Normanby River,Normanby River
SC #333,Normanby River,Normanby River
SC #310,Normanby River,Normanby River
SC #308,Normanby River,Normanby River
SC #203,Normanby River,Normanby River
SC #447,Normanby River,Normanby River
SC #431,Normanby River,Normanby River
SC #417,Normanby River,Normanby River
SC #389,Normanby River,Normanby River
SC #399,Normanby River,Normanby River
SC #480,Normanby River,Normanby River
SC #194,Normanby River,Normanby River
SC #391,Normanby River,Normanby River
SC #534,Normanby River,Normanby River
SC #329,Normanby River,Normanby River
SC #467,Normanby River,Normanby River
SC #331,Normanby River,Normanby River
SC #347,Normanby River,Normanby River
SC #376,Normanby River,Normanby River
SC #33,Normanby River,Normanby River
SC #274,Normanby River,Normanby River
SC #247,Normanby River,Normanby River
SC #188,Normanby River,Normanby River
SC #384,Normanby River,Normanby River
SC #313,Normanby River,Normanby River
SC #263,Normanby River,Normanby River
SC #341,Normanby River,Normanby River
SC #457,Normanby River,Normanby River
SC #31,Normanby River,Normanby River
SC #451,Normanby River,Normanby River
SC #381,Normanby River,Normanby River
SC #282,Normanby River,Normanby River
SC #404,Normanby River,Normanby River
SC #186,Normanby River,Normanby River
SC #318,Normanby River,Normanby River
SC #482,Normanby River,Normanby River
SC #28,Normanby River,Normanby River
SC #535,Normanby River,Normanby River
SC #375,Normanby River,Normanby River
SC #52,Jeannie River,Jeannie River
SC #231,Normanby River,Normanby River
SC #195,Normanby River,Normanby River
SC #373,Normanby River,Normanby River
SC #321,Normanby River,Normanby River
SC #237,Normanby River,Normanby River
SC #297,Normanby River,Normanby River
SC #379,Normanby River,Normanby River
SC #380,Normanby River,Normanby River
SC #510,Normanby River,Normanby River
SC #243,Normanby River,Normanby River
SC #348,Normanby River,Normanby River
SC #236,Normanby River,Normanby River
SC #372,Normanby River,Normanby River
SC #335,Normanby River,Normanby River
SC #185,Jeannie River,Jeannie River
SC #489,Normanby River,Normanby River
SC #271,Normanby River,Normanby River
SC #402,Normanby River,Normanby River
SC #403,Normanby River,Normanby River
SC #294,Normanby River,Normanby River
SC #225,Normanby River,Normanby River
SC #398,Normanby River,Normanby River
SC #234,Normanby River,Normanby River
SC #205,Normanby River,Normanby River
SC #462,Normanby River,Normanby River
SC #340,Normanby River,Normanby River
SC #352,Normanby River,Normanby River
SC #228,Normanby River,Normanby River
SC #344,Normanby River,Normanby River
SC #229,Normanby River,Normanby River
SC #496,Normanby River,Normanby River
SC #199,Normanby River,Normanby River
SC #452,Normanby River,Normanby River
SC #285,Normanby River,Normanby River
SC #232,Normanby River,Normanby River
SC #512,Normanby River,Normanby River
SC #484,Normanby River,Normanby River
SC #487,Normanby River,Normanby River
SC #454,Normanby River,Normanby River
SC #219,Normanby River,Normanby River
SC #29,Jeannie River,Jeannie River
SC #461,Normanby River,Normanby River
SC #444,Normanby River,Normanby River
SC #503,Normanby River,Normanby River
SC #270,Normanby River,Normanby River
SC #189,Jeannie River,Jeannie River
SC #397,Normanby River,Normanby River
SC #349,Normanby River,Normanby River
SC #360,Normanby River,Normanby River
SC #401,Normanby River,Normanby River
SC #443,Normanby River,Normanby River
SC #315,Normanby River,Normanby River
SC #416,Normanby River,Normanby River
SC #521,Normanby River,Normanby River
SC #181,Jeannie River,Jeannie River
SC #388,Normanby River,Normanby River
SC #418,Normanby River,Normanby River
SC #322,Normanby River,Normanby River
SC #494,Normanby River,Normanby River
SC #309,Normanby River,Normanby River
SC #507,Normanby River,Normanby River
SC #286,Normanby River,Normanby River
SC #463,Normanby River,Normanby River
SC #409,Normanby River,Normanby River
SC #420,Normanby River,Normanby River
SC #214,Jeannie River,Jeannie River
SC #269,Normanby River,Normanby River
SC #291,Normanby River,Normanby River
SC #26,Jeannie River,Jeannie River
SC #470,Normanby River,Normanby River
SC #365,Normanby River,Normanby River
SC #187,Jeannie River,Jeannie River
SC #519,Normanby River,Normanby River
SC #276,Normanby River,Normanby River
SC #460,Normanby River,Normanby River
SC #385,Normanby River,Normanby River
SC #393,Normanby River,Normanby River
SC #495,Normanby River,Normanby River
SC #520,Normanby River,Normanby River
SC #424,Normanby River,Normanby River
SC #180,Jeannie River,Jeannie River
SC #514,Normanby River,Normanby River
SC #197,Jeannie River,Jeannie River
SC #412,Normanby River,Normanby River
SC #290,Normanby River,Normanby River
SC #266,Normanby River,Normanby River
SC #527,Normanby River,Normanby River
SC #386,Normanby River,Normanby River
SC #438,Normanby River,Normanby River
SC #30,Jeannie River,Jeannie River
SC #435,Normanby River,Normanby River
SC #233,Jeannie River,Jeannie River
SC #525,Normanby River,Normanby River
SC #528,Normanby River,Normanby River
SC #511,Normanby River,Normanby River
SC #357,Normanby River,Normanby River
SC #474,Normanby River,Normanby River
SC #374,Normanby River,Normanby River
SC #465,Normanby River,Normanby River
SC #38,Jeannie River,Jeannie River
SC #547,Normanby River,Normanby River
SC #244,Jeannie River,Jeannie River
SC #421,Normanby River,Normanby River
SC #541,Normanby River,Normanby River
SC #428,Normanby River,Normanby River
SC #273,Jeannie River,Jeannie River
SC #544,Normanby River,Normanby River
SC #449,Normanby River,Normanby River
SC #450,Normanby River,Normanby River
SC #325,Normanby River,Normanby River
SC #350,Normanby River,Normanby River
SC #240,Jeannie River,Jeannie River
SC #439,Normanby River,Normanby River
SC #483,Normanby River,Normanby River
SC #39,Jeannie River,Jeannie River
SC #526,Normanby River,Normanby River
SC #540,Normanby River,Normanby River
SC #550,Normanby River,Normanby River
SC #405,Normanby River,Normanby River
SC #249,Jeannie River,Jeannie River
SC #419,Normanby River,Normanby River
SC #371,Normanby River,Normanby River
SC #500,Normanby River,Normanby River
SC #432,Normanby River,Normanby River
SC #337,Normanby River,Normanby River
SC #433,Normanby River,Normanby River
SC #414,Normanby River,Normanby River
SC #319,Normanby River,Normanby River
SC #551,Normanby River,Normanby River
SC #257,Jeannie River,Jeannie River
SC #488,Normanby River,Normanby River
SC #434,Normanby River,Normanby River
SC #378,Normanby River,Normanby River
SC #283,Jeannie River,Jeannie River
SC #539,Normanby River,Normanby River
SC #298,Jeannie River,Jeannie River
SC #532,Normanby River,Normanby River
SC #545,Normanby River,Normanby River
SC #40,Jeannie River,Jeannie River
SC #453,Endeavour River,Endeavour River
SC #339,Normanby River,Normanby River
SC #549,Normanby River,Normanby River
SC #499,Normanby River,Normanby River
SC #354,Normanby River,Normanby River
SC #477,Endeavour River,Endeavour River
SC #517,Normanby River,Normanby River
SC #533,Normanby River,Normanby River
SC #513,Normanby River,Normanby River
SC #277,Jeannie River,Jeannie River
SC #272,Jeannie River,Jeannie River
SC #338,Normanby River,Normanby River
SC #334,Normanby River,Normanby River
SC #524,Normanby River,Normanby River
SC #515,Normanby River,Normanby River
SC #42,Jeannie River,Jeannie River
SC #548,Normanby River,Normanby River
SC #300,Jeannie River,Jeannie River
SC #351,Jeannie River,Jeannie River
SC #537,Normanby River,Normanby River
SC #265,Jeannie River,Jeannie River
SC #423,Endeavour River,Endeavour River
SC #41,Jeannie River,Jeannie River
SC #490,Endeavour River,Endeavour River
SC #441,Endeavour River,Endeavour River
SC #295,Jeannie River,Jeannie River
SC #413,Endeavour River,Endeavour River
SC #455,Endeavour River,Endeavour River
SC #546,Normanby River,Normanby River
SC #464,Endeavour River,Endeavour River
SC #481,Endeavour River,Endeavour River
SC #543,Normanby River,Normanby River
SC #456,Endeavour River,Endeavour River
SC #468,Endeavour River,Endeavour River
SC #356,Jeannie River,Jeannie River
SC #43,Jeannie River,Jeannie River
SC #396,Jeannie River,Jeannie River
SC #442,Endeavour River,Endeavour River
SC #522,Endeavour River,Endeavour River
SC #312,Jeannie River,Jeannie River
SC #493,Endeavour River,Endeavour River
SC #410,Endeavour River,Endeavour River
SC #505,Endeavour River,Endeavour River
SC #538,Endeavour River,Endeavour River
SC #518,Endeavour River,Endeavour River
SC #486,Endeavour River,Endeavour River
SC #44,Jeannie River,Jeannie River
SC #475,Endeavour River,Endeavour River
SC #502,Endeavour River,Endeavour River
SC #529,Endeavour River,Endeavour River
SC #377,Jeannie River,Jeannie River
SC #531,Endeavour River,Endeavour River
SC #476,Endeavour River,Endeavour River
SC #336,Jeannie River,Jeannie River
SC #536,Endeavour River,Endeavour River
SC #492,Endeavour River,Endeavour River
SC #46,Jeannie River,Jeannie River
SC #53,Endeavour River,Endeavour River
SC #47,Endeavour River,Endeavour River
SC #542,Endeavour River,Endeavour River
SC #45,Jeannie River,Jeannie River
SC #48,Endeavour River,Endeavour River
SC #49,Endeavour River,Endeavour River
